model_group,year,normalized_theme,count,year_total_real,percentage
Mistral,2010,heartbreak_loss,16,99,16.161616161616163
Mistral,2010,sex_desire,15,99,15.151515151515152
Mistral,2010,self_reflection_growth,10,99,10.1010101010101
Mistral,2010,empowerment_confidence,3,99,3.0303030303030303
Mistral,2010,party_celebration,14,99,14.141414141414142
Mistral,2010,lifestyle_success,9,99,9.090909090909092
Mistral,2010,social_commentary,1,99,1.0101010101010102
Mistral,2010,faith_spirituality,0,99,0.0
Mistral,2010,other,0,99,0.0
Mistral,2011,love_relationships,20,100,20.0
Mistral,2011,heartbreak_loss,12,100,12.0
Mistral,2011,sex_desire,18,100,18.0
Mistral,2011,self_reflection_growth,11,100,11.0
Mistral,2011,empowerment_confidence,4,100,4.0
Mistral,2011,party_celebration,21,100,21.0
Mistral,2011,lifestyle_success,11,100,11.0
Mistral,2011,social_commentary,3,100,3.0
Mistral,2011,faith_spirituality,0,100,0.0
Mistral,2011,other,0,100,0.0
Mistral,2012,love_relationships,34,100,34.0
Mistral,2012,heartbreak_loss,18,100,18.0
Mistral,2012,sex_desire,12,100,12.0
Mistral,2012,self_reflection_growth,7,100,7.0
Mistral,2012,empowerment_confidence,2,100,2.0
Mistral,2012,party_celebration,13,100,13.0
Mistral,2012,lifestyle_success,13,100,13.0
Mistral,2012,social_commentary,1,100,1.0
Mistral,2012,faith_spirituality,0,100,0.0
Mistral,2012,other,0,100,0.0
Mistral,2013,love_relationships,33,100,33.0
Mistral,2013,heartbreak_loss,11,100,11.0
Mistral,2013,sex_desire,11,100,11.0
Mistral,2013,self_reflection_growth,13,100,13.0
Mistral,2013,empowerment_confidence,7,100,7.0
Mistral,2013,party_celebration,11,100,11.0
Mistral,2013,lifestyle_success,10,100,10.0
Mistral,2013,social_commentary,3,100,3.0
Mistral,2013,faith_spirituality,0,100,0.0
Mistral,2013,other,1,100,1.0
Mistral,2014,love_relationships,28,99,28.282828282828284
Mistral,2014,heartbreak_loss,12,99,12.121212121212121
Mistral,2014,sex_desire,16,99,16.161616161616163
Mistral,2014,self_reflection_growth,12,99,12.121212121212121
Mistral,2014,empowerment_confidence,8,99,8.080808080808081
Mistral,2014,party_celebration,13,99,13.131313131313131
Mistral,2014,lifestyle_success,8,99,8.080808080808081
Mistral,2014,social_commentary,1,99,1.0101010101010102
Mistral,2014,faith_spirituality,0,99,0.0
Mistral,2014,other,1,99,1.0101010101010102
Mistral,2015,love_relationships,36,98,36.734693877551024
Mistral,2015,heartbreak_loss,16,98,16.3265306122449
Mistral,2015,sex_desire,12,98,12.244897959183673
Mistral,2015,self_reflection_growth,8,98,8.16326530612245
Mistral,2015,empowerment_confidence,3,98,3.061224489795918
Mistral,2015,party_celebration,10,98,10.204081632653061
Mistral,2015,lifestyle_success,10,98,10.204081632653061
Mistral,2015,social_commentary,2,98,2.0408163265306123
Mistral,2015,faith_spirituality,0,98,0.0
Mistral,2015,other,1,98,1.0204081632653061
Mistral,2016,love_relationships,31,100,31.0
Mistral,2016,heartbreak_loss,15,100,15.0
Mistral,2016,sex_desire,14,100,14.0
Mistral,2016,self_reflection_growth,10,100,10.0
Mistral,2016,empowerment_confidence,7,100,7.0
Mistral,2016,party_celebration,4,100,4.0
Mistral,2016,lifestyle_success,15,100,15.0
Mistral,2016,social_commentary,3,100,3.0
Mistral,2016,faith_spirituality,1,100,1.0
Mistral,2016,other,0,100,0.0
Mistral,2017,love_relationships,30,99,30.303030303030305
Mistral,2017,heartbreak_loss,8,99,8.080808080808081
Mistral,2017,sex_desire,13,99,13.131313131313131
Mistral,2017,self_reflection_growth,10,99,10.1010101010101
Mistral,2017,empowerment_confidence,1,99,1.0101010101010102
Mistral,2017,party_celebration,8,99,8.080808080808081
Mistral,2017,lifestyle_success,22,99,22.22222222222222
Mistral,2017,social_commentary,5,99,5.05050505050505
Mistral,2017,faith_spirituality,0,99,0.0
Mistral,2017,other,2,99,2.0202020202020203
Mistral,2018,love_relationships,34,99,34.343434343434346
Mistral,2018,heartbreak_loss,15,99,15.151515151515152
Mistral,2018,sex_desire,6,99,6.0606060606060606
Mistral,2018,self_reflection_growth,9,99,9.090909090909092
Mistral,2018,empowerment_confidence,5,99,5.05050505050505
Mistral,2018,party_celebration,2,99,2.0202020202020203
Mistral,2018,lifestyle_success,23,99,23.232323232323232
Mistral,2018,social_commentary,3,99,3.0303030303030303
Mistral,2018,faith_spirituality,1,99,1.0101010101010102
Mistral,2018,other,1,99,1.0101010101010102
Mistral,2019,love_relationships,28,100,28.0
Mistral,2019,heartbreak_loss,14,100,14.0
Mistral,2019,sex_desire,10,100,10.0
Mistral,2019,self_reflection_growth,7,100,7.0
Mistral,2019,empowerment_confidence,4,100,4.0
Mistral,2019,party_celebration,4,100,4.0
Mistral,2019,lifestyle_success,26,100,26.0
Mistral,2019,social_commentary,4,100,4.0
Mistral,2019,faith_spirituality,2,100,2.0
Mistral,2019,other,1,100,1.0
Mistral,2020,love_relationships,30,99,30.303030303030305
Mistral,2020,heartbreak_loss,13,99,13.131313131313131
Mistral,2020,sex_desire,13,99,13.131313131313131
Mistral,2020,self_reflection_growth,12,99,12.121212121212121
Mistral,2020,empowerment_confidence,4,99,4.040404040404041
Mistral,2020,party_celebration,5,99,5.05050505050505
Mistral,2020,lifestyle_success,18,99,18.181818181818183
Mistral,2020,social_commentary,4,99,4.040404040404041
Mistral,2020,faith_spirituality,0,99,0.0
Mistral,2020,other,0,99,0.0
Mistral,2021,love_relationships,28,100,28.0
Mistral,2021,heartbreak_loss,20,100,20.0
Mistral,2021,sex_desire,16,100,16.0
Mistral,2021,self_reflection_growth,10,100,10.0
Mistral,2021,empowerment_confidence,4,100,4.0
Mistral,2021,party_celebration,5,100,5.0
Mistral,2021,lifestyle_success,12,100,12.0
Mistral,2021,social_commentary,3,100,3.0
Mistral,2021,faith_spirituality,2,100,2.0
Mistral,2021,other,0,100,0.0
Mistral,2022,love_relationships,29,100,29.0
Mistral,2022,heartbreak_loss,24,100,24.0
Mistral,2022,sex_desire,18,100,18.0
Mistral,2022,self_reflection_growth,9,100,9.0
Mistral,2022,empowerment_confidence,2,100,2.0
Mistral,2022,party_celebration,8,100,8.0
Mistral,2022,lifestyle_success,6,100,6.0
Mistral,2022,social_commentary,4,100,4.0
Mistral,2022,faith_spirituality,0,100,0.0
Mistral,2022,other,0,100,0.0
Mistral,2023,love_relationships,36,100,36.0
Mistral,2023,heartbreak_loss,16,100,16.0
Mistral,2023,sex_desire,10,100,10.0
Mistral,2023,self_reflection_growth,11,100,11.0
Mistral,2023,empowerment_confidence,8,100,8.0
Mistral,2023,party_celebration,6,100,6.0
Mistral,2023,lifestyle_success,7,100,7.0
Mistral,2023,social_commentary,4,100,4.0
Mistral,2023,faith_spirituality,2,100,2.0
Mistral,2023,other,0,100,0.0
